SCHLUESSEL;TYP;KURZBEZEICHNUNG;BEZEICHNUNG
100;Allgemein;Wahlberechtigte;Wahlberechtigte
200;Allgemein;Wähler;Wähler
300;Allgemein;Ungültige;Ungültige
400;Allgemein;Gültige;Gültige
2;Partei;CDU;Christlich Demokratische Union Deutschlands
1;Partei;SPD;Sozialdemokratische Partei Deutschlands
34;Partei;DIE LINKE;DIE LINKE
5;Partei;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
3;Partei;CSU;Christlich-Soziale Union in Bayern e.V.
4;Partei;FDP;Freie Demokratische Partei
35;Partei;AfD;Alternative für Deutschland
8;Partei;PIRATEN;Piratenpartei Deutschland
21;Partei;NPD;Nationaldemokratische Partei Deutschlands
45;Partei;FREIE WÄHLER;FREIE WÄHLER
9;Partei;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
22;Partei;ÖDP;Ökologisch-Demokratische Partei
37;Partei;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
18;Partei;BP;Bayernpartei
40;Partei;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung
36;Partei;PDV;Partei der Vernunft
17;Partei;MLPD;Marxistisch-Leninistische Partei Deutschlands
12;Partei;BüSo;Bürgerrechtsbewegung Solidarität
15;Partei;SGP;Sozialistische Gleichheitspartei, Vierte Internationale
14;Partei;DIE RECHTE;DIE RECHTE
41;Partei;AD-DEMOKRATEN;Allianz Deutscher Demokraten
10;Partei;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz
26;Partei;B*;bergpartei, die überpartei
29;Partei;BGE;Bündnis Grundeinkommen
24;Partei;DiB;DEMOKRATIE IN BEWEGUNG
11;Partei;DKP;Deutsche Kommunistische Partei
38;Partei;DM;Deutsche Mitte
43;Partei;Die Grauen;Die Grauen – Für alle Generationen
42;Partei;du.;Die Urbane. Eine HipHop Partei
19;Partei;MG;Madgeburger Gartenpartei
27;Partei;MENSCHLICHE WELT;Menschliche Welt
44;Partei;Die Humanisten;Partei der Humanisten
33;Partei;Gesundheitsforschung;Partei für Gesundheitsforschung
20;Partei;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
32;Partei;Bündnis C;Bündnis C - Christen für Deutschland
48;Partei;DIE EINHEIT;DIE EINHEIT
30;Partei;DIE VIOLETTEN;Die Violetten
31;Partei;FAMILIE;Familien-Partei Deutschlands
53;Partei;DIE FRAUEN;Feministische Partei DIE FRAUEN
47;Partei;MIETERPARTEI;Mieterpartei
39;Partei;Neue Liberale;Neue Liberale – Die Sozialliberalen
16;Partei;UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie
538;Einzelkandidat;EB: Niesen;Albert Niesen
608;Einzelkandidat;EB: Jagau;Andere Perspektiven
585;Einzelkandidat;EB: Meißner;Anti-Korruption
523;Einzelkandidat;EB: Babnik;Babnik
576;Einzelkandidat;EB: Scheffler;Bedingungsloses Grundeinkommen – Mensch macht Politik
536;Einzelkandidat;EB: Rosenbaum;BIBS
584;Einzelkandidat;EB: Vollmer;Brigitte Vollmer - mit der Russischen Föderation und der BRD zum dt. Friedensvertrag und für den Ausstieg aus der NATO
518;Einzelkandidat;EB: Mertel;BÜRGER-BLOCK e.V. -BB-EB: Mertel
606;Einzelkandidat;EB: Salveter;Bürgerinitiativen BIBS
564;Einzelkandidat;EB: Mayer;Bürgerkandidat
590;Einzelkandidat;EB: Richter;Bürgerkandidat - für ein Deutschland - neutral+souverän+sozial
550;Einzelkandidat;EB: Hüfken;Bürgerkandidat DEM LEBEN DIENEN
594;Einzelkandidat;EB: Bucher;BÜRGERKANDIDAT – FÜR GEMEINWOHL UND TRANSPARENTE, DIREKTE DEMOKRATIE
527;Einzelkandidat;EB: Mollik;Bürgerkandidat – für Gemeinwohl und Volksentscheid
646;Einzelkandidat;EB: Elkins;Bürgerkandidaten
599;Einzelkandidat;EB: Schneider;Bürgerkandidaten
637;Einzelkandidat;EB: Holbein;Bürgerkandidaten für Gemeinwohl und Volksentscheid
565;Einzelkandidat;EB: Maier;Bürgerkandidaten für Gemeinwohl und Volksentscheid
607;Einzelkandidat;EB: Renne;BÜRGERKANDIDATEN für Gemeinwohl und Volksentscheid
640;Einzelkandidat;EB: Tropp;BÜRGERKANDIDATEN Für Gemeinwohl und Volksentscheid
551;Einzelkandidat;EB: Barski;BÜRGERKANDIDATEN – für Gemeinwohl und Volksentscheid
524;Einzelkandidat;EB: Heck;BÜRGERKANDIDATEN – für Gemeinwohl und Volksentscheid
530;Einzelkandidat;EB: Weidelt;BÜRGERKANDIDATEN – für Gemeinwohl und Volksentscheid
537;Einzelkandidat;EB: Martin;BÜRGERKANDIDATEN.DE Für Volksabstimmungen und Gemeinwohl
540;Einzelkandidat;EB: Gent;BÜRGERKANDIDATIN CHARTA für BASISDEMOKRATIE
634;Einzelkandidat;EB: Staratschek;Christlich ökologische Politik für Familie, Arbeit und Umwelt (FAMILIE & UMWELT)
583;Einzelkandidat;EB: Datli;Datli
529;Einzelkandidat;EB: Roeder;Der Auserwählte
620;Einzelkandidat;EB: Abaga Ayingono;DIE STIMME DER STIMMENLOSEN
605;Einzelkandidat;EB: Ulbrich;Einzelbewerber (Ulbrich)
514;Einzelkandidat;EB: Hofer;Frank Hofer (frei – klar – bürgernah)
626;Einzelkandidat;EB: Çelikkan;Freier Parteiloser Direktkandidat
644;Einzelkandidat;EB: Miller;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah
647;Einzelkandidat;EB: Miehlke;Friedrich der 21.
