Datum;Union;SPD;Linke*;Grüne;FDP;AfD;Piraten;Sonstige
25.08.17;38;22;9;8;9;10;-;4
09.08.17;39;24;9;8;8;8;-;4
28.07.17;40;23;8;8;8;9;-;4
06.07.17;39;23;9;8;9;9;-;3
16.06.17;39;24;8;7;9;8;-;5
08.06.17;38;24;8;7;10;9;-;4
19.05.17;38;26;6;8;9;9;-;4
11.05.17;37;27;7;8;8;10;-;3
21.04.17;35;30;8;7;6;10;-;4
13.04.17;34;31;7;8;6;11;-;3
24.03.17;32;32;7;8;6;11;-;4
09.03.17;32;31;8;8;6;11;-;4
23.02.17;31;32;7;8;6;11;-;5
01.02.17;34;28;8;8;6;12;-;4
26.01.17;35;23;8;9;6;14;-;5
04.01.17;37;20;9;9;5;15;-;5
15.12.16;36;21;9;10;6;13;-;5
07.12.16;35;22;9;11;5;13;-;5
17.11.16;32;23;9;13;6;12;-;5
02.11.16;33;22;9;12;6;13;-;5
20.10.16;33;22;9;12;5;14;-;5
05.10.16;33;22;9;11;6;14;-;5
22.09.16;32;22;8;12;6;16;-;4
31.08.16;33;23;9;11;5;14;-;5
25.08.16;33;22;9;12;5;13;-;6
03.08.16;34;22;9;13;5;12;-;5
14.07.16;33;22;8;14;6;12;-;5
06.07.16;34;22;9;13;6;12;-;4
16.06.16;31;21;9;14;7;14;-;4
01.06.16;32;21;9;13;6;15;-;4
19.05.16;32;21;9;12;7;15;-;4
03.05.16;33;20;8;13;6;15;-;5
21.04.16;33;21;8;12;7;14;-;5
06.04.16;34;21;7;13;7;14;-;4
23.03.16;34;22;8;12;7;13;-;4
28.02.16;36;23;9;10;6;11;-;5
25.02.16;37;23;8;11;6;10;-;5
02.02.16;35;24;9;10;5;12;-;5
14.01.16;37;25;8;10;4;10;-;6
06.01.16;39;24;8;11;4;9;-;5
17.12.15;38;24;8;10;4;10;-;6
02.12.15;37;25;8;11;4;10;-;5
19.11.15;37;25;8;10;5;9;-;6
04.11.15;37;24;9;11;5;8;-;6
22.10.15;38;24;9;11;5;8;-;5
30.09.15;40;24;9;10;5;6;-;6
10.09.15;42;25;9;11;4;4;-;5
02.09.15;42;24;8;12;4;4;-;6
13.08.15;42;24;9;11;4;4;-;6
29.07.15;42;24;9;11;5;4;-;5
16.07.15;41;24;9;11;6;4;-;5
01.07.15;40;25;10;11;5;5;-;4
18.06.15;40;25;10;10;5;5;-;5
02.06.15;40;25;9;10;6;5;-;5
21.05.15;41;26;9;9;5;5;-;5
06.05.15;40;25;9;10;4;6;-;6
23.04.15;41;24;8;11;4;6;-;6
01.04.15;41;25;9;10;4;6;-;5
12.03.15;41;24;9;11;4;6;-;5
04.03.15;41;25;9;10;4;6;-;5
12.02.15;42;24;8;10;3;7;-;6
04.02.15;41;25;9;10;3;6;-;6
15.01.15;41;25;8;10;4;6;-;6
07.01.15;41;26;8;10;3;6;-;6
18.12.14;42;25;8;10;-;6;-;9
03.12.14;40;26;9;11;2;7;-;5
20.11.14;41;26;8;11;3;6;-;5
05.11.14;41;25;9;10;3;7;-;5
23.10.14;40;26;9;10;2;7;-;6
01.10.14;41;24;10;9;2;9;-;5
25.09.14;39;25;10;10;3;8;-;5
03.09.14;40;24;10;10;3;7;-;6
28.08.14;42;25;9;9;3;5;-;7
06.08.14;41;26;9;10;3;5;-;6
