Nr;Gebiet;gehört;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;PSG;AfD;BIG;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;Nichtwähler;PARTEI DER VERNUNFT;Die PARTEI;B;BGD;DKP;NEIN!;Übrige
1;Flensburg - Schleswig;1;226944;162749;2223;160526;61347;52396;8065;9084;15734;;3183;929;1459;;;;;790;;;;;44;;;6563;;;;;1042;;;;;;;;
2;Nordfriesland - Dithmarschen Nord;1;186177;131527;1648;129879;56383;38590;8321;5733;10547;;2413;733;969;;;;;561;;;;;45;;;4994;;;;;755;;;;;;;;
3;Steinburg - Dithmarschen Süd;1;176731;126409;1523;124886;52408;37502;7689;6286;9485;;2709;1038;930;;;;;516;;;;;34;;;5492;;;;;869;;;;;;;;
4;Rendsburg-Eckernförde;1;198903;149583;1743;147840;60349;46658;8126;6447;13707;;2620;854;1290;;;;;668;;;;;32;;;6500;;;;;716;;;;;;;;
5;Kiel;1;205243;146452;1674;144778;43893;50262;7708;10023;20394;;3946;802;1201;;;;;817;;;;;71;;;5379;;;;;473;;;;;;;;
6;Plön - Neumünster;1;174746;127093;1681;125412;48683;41094;6722;5987;11577;;2154;1159;1004;;;;;535;;;;;46;;;5901;;;;;711;;;;;;;;
7;Pinneberg;1;235610;179055;1703;177352;72006;55371;9863;8910;15291;;3370;1319;1271;;;;;665;;;;;42;;;8479;;;;;786;;;;;;;;
8;Segeberg - Stormarn-Mitte;1;244240;183250;1735;181515;74161;54691;10449;9112;15695;;3686;1307;1534;;;;;746;;;;;46;;;9034;;;;;1129;;;;;;;;
9;Ostholstein - Stormarn-Nord;1;180022;131939;1551;130388;53705;41134;8036;5663;10490;;2111;737;917;;;;;489;;;;;25;;;6471;;;;;709;;;;;;;;
10;Herzogtum Lauenburg - Stormarn-Süd;1;241257;182982;1708;181274;73603;53944;10878;8962;16579;;3031;1377;1385;;;;;634;;;;;43;;;10210;;;;;776;;;;;;;;
11;Lübeck;1;181923;124711;1563;123148;42218;42083;5857;7970;13638;;2994;974;918;;;;;422;;;;;93;;;5323;;;;;781;;;;;;;;
901;Schleswig-Holstein;99;2251796;1645750;18752;1626998;638756;513725;91714;84177;153137;;32217;11229;12878;;;;;6843;;;;;521;;;74346;;;;;8747;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Hamburg-Mitte;2;256862;168465;2445;166020;44947;55721;6458;18124;22645;;6442;1257;;;417;;;790;;;;;92;;;7186;;;;;589;;;1545;;;;;
19;Hamburg-Altona;2;182776;135857;1454;134403;39581;40009;7353;14525;22167;;3630;528;;;334;;;420;;;;;123;;;4321;;;;;384;;;1089;;;;;
20;Hamburg-Eimsbüttel;2;189772;143084;1646;141438;43989;44492;7308;12137;22074;;3751;551;;;293;;;525;;;;;56;;;5197;;;;;397;;;870;;;;;
21;Hamburg-Nord;2;211824;163950;1666;162284;59244;49039;10242;10615;20357;;3638;588;;;297;;;585;;;;;39;;;6721;;;;;392;;;681;;;;;
22;Hamburg-Wandsbek;2;218797;147153;1960;145193;50641;50339;6556;11078;12667;;3437;1336;;;229;;;793;;;;;37;;;7093;;;;;560;;;592;;;;;
23;Hamburg-Bergedorf - Harburg;2;221887;142704;2089;140615;47525;49302;4952;11817;12916;;3607;1398;;;393;;;706;;;;;76;;;6624;;;;;534;;;866;;;;;
902;Hamburg;99;1281918;901213;11260;889953;285927;288902;42869;78296;112826;;24505;5658;;;1963;;;3819;;;;;423;;;37142;;;;;2856;;;5643;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Aurich - Emden;3;190987;134256;2217;132039;43026;58080;4323;6588;11028;;1900;1259;1065;110;;;;;;160;;;35;;;4136;;109;;;713;;;;;;;;
25;Unterems;3;232784;166959;2096;164863;80616;51079;6537;6771;9506;;2218;1339;1070;91;;;;;;281;;;24;;;4870;;165;;;747;;;;;;;;
26;Friesland - Wilhelmshaven - Wittmund;3;190034;134162;2369;131793;50796;48011;5670;6814;9731;;2007;1206;1194;87;;;;;;82;;;70;;;5479;;149;;;1106;;;;;;;;
27;Oldenburg - Ammerland;3;220409;163543;1748;161795;57067;52856;8210;10523;20170;;2853;1050;1308;54;;;;;;132;;;62;;;6833;;100;;;923;;;;;;;;
28;Delmenhorst - Wesermarsch - Oldenburg-Land;3;227719;162698;2059;160639;62620;54848;8035;8814;13059;;2577;1612;1390;97;;;;;;80;;;41;;;6359;;183;;;1072;;;;;;;;
29;Cuxhaven - Stade II;3;187640;137151;1490;135661;59699;45534;4924;6241;9592;;1968;1270;1074;43;;;;;;101;;;42;;;4753;;140;;;586;;;;;;;;
30;Stade I - Rotenburg II;3;194958;145131;1161;143970;64472;44598;6023;6021;11209;;2131;1302;979;54;;;;;;119;;;17;;;6531;;108;;;620;;;;;;;;
31;Mittelems;3;228051;170444;1571;168873;94923;44069;7032;5107;9160;;2456;790;767;48;;;;;;114;;;20;;;4331;;136;;;285;;;;;;;;
32;Cloppenburg - Vechta;3;216300;153769;1416;152353;96401;30168;7073;4259;6488;;1816;877;681;51;;;;;;250;;;21;;;3576;;104;;;799;;;;;;;;
33;Diepholz - Nienburg I;3;193097;142350;1496;140854;61404;44431;6929;6359;11556;;2143;1175;1196;102;;;;;;137;;;21;;;4840;;169;;;673;;;;;;;;
34;Osterholz - Verden;3;193643;144923;1502;143421;57243;47413;5235;8008;13708;;2655;1321;1250;90;;;;;;190;;;58;;;5487;;165;;;392;;;;;;;;
35;Rotenburg I - Heidekreis;3;167867;122823;1317;121506;53163;38018;4930;5572;10332;;1722;1275;1028;68;;;;;;174;;;22;;;4586;;143;;;796;;;;;;;;
36;Harburg;3;194856;152819;1416;151403;64905;42915;7382;6641;14078;;2499;1193;1366;74;;;;;;159;;;33;;;9069;;141;;;1145;;;;;;;;
37;Lüchow-Dannenberg - Lüneburg;3;179069;133574;1375;132199;48756;38415;5281;9202;18892;;3000;1145;1081;47;;;;;;177;;;30;;;5852;;136;;;402;;;;;;;;
38;Osnabrück-Land;3;197532;144853;1390;143463;68972;42214;6599;5783;11046;;2188;968;801;36;;;;;;444;;;23;;;4060;;121;;;478;;;;;;;;
39;Stadt Osnabrück;3;194231;142840;1919;140921;60754;43099;5874;7188;15390;;2794;652;815;49;;;;;;226;;;33;;;3765;;88;;;472;;;;;;;;
40;Nienburg II - Schaumburg;3;195948;141773;1464;140309;56279;51043;4993;6006;11370;;2108;1216;1129;112;;;;;;211;;;41;;;5514;;159;;;436;;;;;;;;
41;Stadt Hannover I;3;181122;129867;1888;127979;42910;45441;6043;7993;15718;;2434;808;988;122;;;;;;137;;;78;;;4654;;168;;;505;;;;;;;;
42;Stadt Hannover II;3;193157;141215;1871;139344;41684;48292;5983;11129;21559;;3113;736;1171;80;;;;;;146;;;95;;;4749;;155;;;398;;;;;;;;
43;Hannover-Land I;3;232941;176671;1658;175013;72286;57922;8725;7931;14308;;2516;1487;1346;185;;;;;;213;;;37;;;7038;;210;;;937;;;;;;;;
44;Celle - Uelzen;3;215285;157058;1562;155496;68568;46931;6478;7085;12071;;2673;1511;1173;149;;;;;;183;;;27;;;7722;;144;;;982;;;;;;;;
45;Gifhorn - Peine;3;217256;161941;1788;160153;64451;57875;5648;7575;11855;;2833;1524;1242;134;;;;;;616;;;46;;;5786;;212;;;671;;;;;;;;
46;Hameln-Pyrmont - Holzminden;3;191980;137839;2075;135764;50937;49411;5985;7201;11428;;2152;1271;1031;104;;;;;;185;;;30;;;5550;;150;;;461;;;;;;;;
47;Hannover-Land II;3;240409;182963;2067;180896;69644;65169;7228;8669;16212;;2737;1499;1429;172;;;;;;168;;;53;;;6958;;309;;;1044;;;;;;;;
48;Hildesheim;3;219571;164796;2451;162345;63041;59319;5589;8120;14587;;2937;1482;1208;92;;;;;;151;;;31;;;5601;;384;;;455;;;;;;;;
49;Salzgitter - Wolfenbüttel;3;208990;152599;2208;150391;53593;58881;5142;8461;11013;;2228;1796;1286;208;;;;;;167;;;39;;;5938;;183;;;1046;;;;;;;;
50;Braunschweig;3;193799;143752;1649;142103;48419;47741;6214;9527;17614;;4169;1038;1295;97;;;;;;128;;;100;;;5092;;127;;;724;;;;;;;;
51;Helmstedt - Wolfsburg;3;187425;133269;1927;131342;54188;45837;4796;6440;9004;;2460;1840;1182;44;;;;;;254;;;38;;;4892;;157;;;643;;;;;;;;
52;Goslar - Northeim - Osterode;3;208311;149429;2599;146830;55775;55985;6099;7475;10141;;2141;1493;1086;93;;;;;;134;;;33;;;5733;;241;;;835;;;;;;;;
53;Göttingen;3;222102;165814;1974;163840;59000;54410;6667;10432;20076;;3173;1280;1178;93;;;;;;145;;;67;;;6121;;234;;;1427;;;;;;;;
903;Niedersachsen;99;6117473;4491281;53723;4437558;1825592;1470005;185647;223935;391901;;74601;37415;33809;2786;;;;;;5664;;;1267;;;165875;;4990;;;21773;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Bremen I;4;256547;184512;2128;182384;55254;60502;7168;18502;25448;;4756;1400;1641;;;;119;;;;;;87;;;6263;;199;;;398;;;959;;;;;
55;Bremen II - Bremerhaven;4;227276;148510;2083;146427;41205;56702;4036;14782;14566;;3699;2240;1824;;;;276;;;;;;69;;;6044;;267;;;416;;;590;;;;;
904;Bremen;99;483823;333022;4211;328811;96459;117204;11204;33284;40014;;8455;3640;3465;;;;395;;;;;;156;;;12307;;466;;;814;;;1549;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Aachen I;5;179933;134447;1476;132971;48728;36432;8401;10212;17485;;4669;680;;116;221;;40;;;;17;;25;137;14;4149;123;160;46;;555;149;91;784;;;;;
88;Aachen II;5;228375;164576;3027;161549;66328;52897;7948;10538;10220;;3712;1697;;792;213;;77;;;;30;;26;338;30;5337;111;320;55;;551;225;104;719;;;;;
89;Heinsberg;5;188266;134521;2205;132316;65417;34895;6543;6915;7336;;3019;1427;;254;145;;77;;;;29;;18;231;44;4652;60;251;26;;437;195;112;556;;;;;
90;Düren;5;199550;145541;2765;142776;63532;42549;7102;8120;8729;;3478;1565;;183;148;;74;;;;35;;31;373;40;5732;67;311;46;;344;238;122;652;;;;;
91;Rhein-Erft-Kreis I;5;247721;182970;6195;176775;75521;55089;10235;9266;12264;;3865;1769;;245;221;;108;;;;46;;19;407;44;6660;225;700;73;;747;313;227;691;;;;;
92;Euskirchen - Rhein-Erft-Kreis II;5;245268;178218;3940;174278;79055;46982;11611;9075;12544;;3826;1702;;191;213;;94;;;;24;;35;473;33;7183;96;489;20;;576;277;210;762;;;;;
93;Köln I;5;191277;132837;1445;131392;43863;40759;7235;10709;16056;;3501;1032;;168;204;;80;;;;61;;73;208;31;5367;254;411;18;;337;241;111;883;;;;;
94;Köln II;5;233118;184162;1478;182684;64909;48190;14871;12689;28642;;4072;596;;103;328;;53;;;;38;;43;213;37;5955;132;245;10;;403;364;96;1030;;;;;
95;Köln III;5;201922;141714;1765;139949;42902;44240;6339;12960;20905;;3789;1057;;151;263;;67;;;;59;;57;248;34;4513;381;488;27;;405;293;127;1041;;;;;
96;Bonn;5;226487;175014;2143;172871;62844;44909;14418;10988;23686;;4418;801;;92;293;;47;;;;25;;42;197;21;7389;955;358;19;;309;217;132;1079;;;;;
97;Rhein-Sieg-Kreis I;5;234377;172653;2251;170402;74187;46065;10796;9496;14000;;3771;1464;;148;238;;103;;;;23;;18;809;38;7514;152;315;20;;534;205;138;713;;;;;
98;Rhein-Sieg-Kreis II;5;213791;164635;2190;162445;73860;39571;13468;7433;14122;;3163;1091;;111;270;;75;;;;21;;18;421;17;7362;146;299;10;;585;163;115;589;;;;;
99;Oberbergischer Kreis;5;209414;150899;1983;148916;67437;40185;8446;8055;10347;;2849;1329;;152;262;;72;;;;18;;26;363;32;7487;80;473;21;;364;189;130;629;;;;;
100;Rheinisch-Bergischer Kreis;5;216414;169131;1527;167604;73278;43721;11676;8473;15113;;3311;1149;;155;265;;79;;;;25;;30;294;24;7945;119;348;28;;463;297;153;774;;;;;
101;Leverkusen - Köln IV;5;214098;150030;2086;147944;52884;48511;7212;10615;14283;;3816;1578;;177;202;;65;;;;30;;164;315;23;5807;277;514;16;;632;230;96;993;;;;;
102;Wuppertal I;5;213132;145925;2520;143405;47470;46638;8198;12499;14318;;3561;1620;;390;202;;61;;;;19;;131;311;37;5989;187;473;79;;440;227;126;962;;;;;
